Energy(keV) dN/dE(keV^-1)
0.0 0.0
2.80056011202 1.97194459847e-09
5.60112022404 7.87865145482e-09
8.40168033607 1.77064423126e-08
11.2022404481 3.14416551177e-08
14.0028005601 4.90706440181e-08
16.8033606721 7.05797793631e-08
19.6039207842 9.5955447703e-08
22.4044808962 1.25184051788e-07
25.2050410082 1.5825201057e-07
28.0056011202 1.95145759198e-07
30.8061612322 2.35851749022e-07
33.6067213443 2.80356447588e-07
36.4072814563 3.28646338643e-07
39.2078415683 3.80707922128e-07
42.0084016803 4.36527714185e-07
44.8089617924 4.96092247149e-07
47.6095219044 5.59388069552e-07
50.4100820164 6.26401746122e-07
53.2106421284 6.97119857782e-07
56.0112022404 7.71529001648e-07
58.8117623525 8.49615791032e-07
61.6123224645 9.31366855437e-07
64.4128825765 1.01676884056e-06
67.2134426885 1.1058084083e-06
70.0140028006 1.19847223672e-06
72.8145629126 1.29474702011e-06
75.6151230246 1.39461946892e-06
78.4156831366 1.49807630982e-06
81.2162432486 1.60510428564e-06
84.0168033607 1.71569015542e-06
86.8173634727 1.82982069439e-06
89.6179235847 1.94748269395e-06
92.4184836967 2.0686629617e-06
95.2190438088 2.19334832143e-06
98.0196039208 2.32152561311e-06
100.820164033 2.4531816929e-06
103.620724145 2.58830343315e-06
106.421284257 2.72687772239e-06
109.221844369 2.86889146533e-06
112.022404481 3.01433158288e-06
114.822964593 3.16318501211e-06
117.623524705 3.3154387063e-06
120.424084817 3.47107963489e-06
123.224644929 3.63009478352e-06
126.025205041 3.792471154e-06
128.825765153 3.95819576433e-06
131.626325265 4.12725564868e-06
134.426885377 4.29963785741e-06
137.227445489 4.47532945705e-06
140.028005601 4.65431753033e-06
142.828565713 4.83658917614e-06
145.629125825 5.02213150955e-06
148.429685937 5.2109316618e-06
151.230246049 5.40297678034e-06
154.030806161 5.59825402875e-06
156.831366273 5.79675058684e-06
159.631926385 5.99845365054e-06
162.432486497 6.20335043199e-06
165.233046609 6.4114281595e-06
168.033606721 6.62267407755e-06
170.834166833 6.83707544679e-06
173.634726945 7.05461954405e-06
176.435287057 7.27529366234e-06
179.235847169 7.49908511082e-06
182.036407281 7.72598121483e-06
184.836967393 7.9559693159e-06
187.637527506 8.1890367717e-06
190.438087618 8.4251709561e-06
193.23864773 8.66435925912e-06
196.039207842 8.90658908695e-06
198.839767954 9.15184786196e-06
201.640328066 9.40012302267e-06
204.440888178 9.6514020238e-06
207.24144829 9.90567233619e-06
210.042008402 1.01629214469e-05
212.842568514 1.04231368591e-05
215.643128626 1.06863060922e-05
218.443688738 1.09524166816e-05
221.24424885 1.12214561792e-05
224.044808962 1.14934121527e-05
226.845369074 1.17682721861e-05
229.645929186 1.20460238797e-05
232.446489298 1.23266548498e-05
235.24704941 1.26101527289e-05
238.047609522 1.28965051657e-05
240.848169634 1.3185699825e-05
243.648729746 1.34777243877e-05
246.449289858 1.37725665511e-05
249.24984997 1.40702140285e-05
252.050410082 1.43706545493e-05
254.850970194 1.46738758591e-05
257.651530306 1.49798657197e-05
260.452090418 1.52886119092e-05
263.25265053 1.56001022214e-05
266.053210642 1.59143244668e-05
268.853770754 1.62312664718e-05
271.654330866 1.65509160788e-05
274.454890978 1.68732611466e-05
277.25545109 1.71982895502e-05
280.056011202 1.75259891804e-05
282.856571314 1.78563479446e-05
285.657131426 1.8189353766e-05
288.457691538 1.8524994584e-05
291.25825165 1.88632583545e-05
294.058811762 1.92041330491e-05
296.859371874 1.95476066557e-05
299.659931986 1.98936671785e-05
302.460492098 2.02423026378e-05
305.26105221 2.05935010698e-05
308.061612322 2.09472505271e-05
310.862172434 2.13035390784e-05
313.662732547 2.16623548086e-05
316.463292659 2.20236858186e-05
319.263852771 2.23875202255e-05
322.064412883 2.27538461626e-05
324.864972995 2.31226517793e-05
327.665533107 2.34939252412e-05
330.466093219 2.386765473e-05
333.266653331 2.42438284435e-05
336.067213443 2.46224345957e-05
338.867773555 2.50034614167e-05
341.668333667 2.53868971529e-05
344.468893779 2.57727300666e-05
347.269453891 2.61609484364e-05
350.070014003 2.6551540557e-05
352.870574115 2.69444947392e-05
355.671134227 2.733979931e-05
358.471694339 2.77374426125e-05
361.272254451 2.8137413006e-05
364.072814563 2.85396988658e-05
366.873374675 2.89442885836e-05
369.673934787 2.93511705669e-05
372.474494899 2.97603332396e-05
375.275055011 3.01717650415e-05
378.075615123 3.05854544289e-05
380.876175235 3.10013898738e-05
383.676735347 3.14195598646e-05
386.477295459 3.18399529059e-05
389.277855571 3.22625575181e-05
392.078415683 3.26873622381e-05
394.878975795 3.31143556187e-05
397.679535907 3.3543526229e-05
400.480096019 3.3974862654e-05
403.280656131 3.44083534951e-05
406.081216243 3.48439873695e-05
408.881776355 3.5281752911e-05
411.682336467 3.5721638769e-05
414.482896579 3.61636336094e-05
417.283456691 3.66077261142e-05
420.084016803 3.70539049812e-05
422.884576915 3.75021589248e-05
425.685137027 3.79524766752e-05
428.485697139 3.84048469788e-05
431.286257251 3.88592585981e-05
434.086817363 3.93157003119e-05
436.887377475 3.97741609149e-05
439.687937588 4.0234629218e-05
442.4884977 4.06970940483e-05
445.289057812 4.11615442489e-05
448.089617924 4.16279686792e-05
450.890178036 4.20963562144e-05
453.690738148 4.25666957462e-05
456.49129826 4.30389761821e-05
459.291858372 4.3513186446e-05
462.092418484 4.39893154778e-05
464.892978596 4.44673522333e-05
467.693538708 4.49472856848e-05
470.49409882 4.54291048205e-05
473.294658932 4.59127986448e-05
476.095219044 4.6398356178e-05
478.895779156 4.68857664569e-05
481.696339268 4.73750185341e-05
484.49689938 4.78661014784e-05
487.297459492 4.83590043748e-05
490.098019604 4.88537163242e-05
492.898579716 4.9350226444e-05
495.699139828 4.98485238672e-05
498.49969994 5.03485977434e-05
501.300260052 5.08504372381e-05
504.100820164 5.13540315327e-05
506.901380276 5.18593698251e-05
509.701940388 5.23664413291e-05
512.5025005 5.28752352746e-05
515.303060612 5.33857409076e-05
518.103620724 5.38979474904e-05
520.904180836 5.44118443011e-05
523.704740948 5.49274206342e-05
526.50530106 5.54446658001e-05
529.305861172 5.59635691255e-05
532.106421284 5.64841199529e-05
534.906981396 5.70063076413e-05
537.707541508 5.75301215654e-05
540.50810162 5.80555511164e-05
543.308661732 5.85825857013e-05
546.109221844 5.91112147433e-05
548.909781956 5.96414276817e-05
551.710342068 6.0173213972e-05
554.51090218 6.07065630856e-05
557.311462292 6.12414645103e-05
560.112022404 6.17779077496e-05
562.912582517 6.23158823235e-05
565.713142629 6.28553777678e-05
568.513702741 6.33963836346e-05
571.314262853 6.39388894919e-05
574.114822965 6.4482884924e-05
576.915383077 6.50283595312e-05
579.715943189 6.55753029299e-05
582.516503301 6.61237047526e-05
585.317063413 6.66735546478e-05
588.117623525 6.72248422804e-05
590.918183637 6.7777557331e-05
593.718743749 6.83316894966e-05
596.519303861 6.88872284901e-05
599.319863973 6.94441640406e-05
602.120424085 7.00024858932e-05
604.920984197 7.05621838092e-05
607.721544309 7.11232475659e-05
610.522104421 7.16856669568e-05
613.322664533 7.22494317914e-05
616.123224645 7.28145318953e-05
618.923784757 7.33809571101e-05
621.724344869 7.39486972937e-05
624.524904981 7.451774232e-05
627.325465093 7.50880820789e-05
630.126025205 7.56597064765e-05
632.926585317 7.62326054348e-05
635.727145429 7.68067688921e-05
638.527705541 7.73821868028e-05
641.328265653 7.79588491372e-05
644.128825765 7.85367458817e-05
646.929385877 7.9115867039e-05
649.729945989 7.96962026276e-05
652.530506101 8.02777426824e-05
655.331066213 8.0860477254e-05
658.131626325 8.14443964094e-05
660.932186437 8.20294902316e-05
663.732746549 8.26157488195e-05
666.533306661 8.32031622883e-05
669.333866773 8.37917207693e-05
672.134426885 8.43814144096e-05
674.934986997 8.49722333727e-05
677.735547109 8.5564167838e-05
680.536107221 8.6157208001e-05
683.336667333 8.67513440733e-05
686.137227445 8.73465662825e-05
688.937787558 8.79428648724e-05
691.73834767 8.85402301027e-05
694.538907782 8.91386522495e-05
697.339467894 8.97381216046e-05
700.140028006 9.03386284761e-05
702.940588118 9.09401631881e-05
705.74114823 9.15427160807e-05
708.541708342 9.21462775102e-05
711.342268454 9.2750837849e-05
714.142828566 9.33563874853e-05
716.943388678 9.39629168238e-05
719.74394879 9.45704162848e-05
722.544508902 9.5178876305e-05
725.345069014 9.5788287337e-05
728.145629126 9.63986398496e-05
730.946189238 9.70099243276e-05
733.74674935 9.76221312718e-05
736.547309462 9.82352511991e-05
739.347869574 9.88492746426e-05
742.148429686 9.94641921513e-05
744.948989798 0.00010007999429
747.74954991 0.000100696671641
750.550110022 0.0001013142148
753.350670134 0.000101932614381
756.151230246 0.000102551861014
758.951790358 0.000103171945344
761.75235047 0.000103792858031
764.552910582 0.000104414589755
767.353470694 0.000105037131208
770.154030806 0.000105660473101
772.954590918 0.000106284606158
775.75515103 0.000106909521122
778.555711142 0.000107535208751
781.356271254 0.000108161659817
784.156831366 0.000108788865113
786.957391478 0.000109416815442
789.75795159 0.000110045501628
792.558511702 0.000110674914509
795.359071814 0.000111305044938
798.159631926 0.000111935883786
800.960192038 0.000112567421939
803.76075215 0.0001131996503
806.561312262 0.000113832559787
809.361872374 0.000114466141333
812.162432486 0.000115100385891
814.962992599 0.000115735284426
817.763552711 0.000116370827921
820.564112823 0.000117007007375
823.364672935 0.000117643813801
826.165233047 0.000118281238232
828.965793159 0.000118919271713
831.766353271 0.000119557905308
834.566913383 0.000120197130095
837.367473495 0.000120836937169
840.168033607 0.000121477317642
842.968593719 0.000122118262639
845.769153831 0.000122759763305
848.569713943 0.000123401810798
851.370274055 0.000124044396293
854.170834167 0.000124687510982
856.971394279 0.000125331146072
859.771954391 0.000125975292786
862.572514503 0.000126619942363
865.373074615 0.000127265086058
868.173634727 0.000127910715144
870.974194839 0.000128556820907
873.774754951 0.00012920339465
876.575315063 0.000129850427694
879.375875175 0.000130497911373
882.176435287 0.00013114583704
884.976995399 0.000131794196062
887.777555511 0.000132442979822
890.578115623 0.00013309217972
893.378675735 0.000133741787172
896.179235847 0.000134391793609
898.979795959 0.00013504219048
901.780356071 0.000135692969248
904.580916183 0.000136344121392
907.381476295 0.000136995638409
910.182036407 0.000137647511811
912.982596519 0.000138299733125
915.783156631 0.000138952293895
918.583716743 0.000139605185681
921.384276855 0.00014025840006
924.184836967 0.000140911928623
926.985397079 0.000141565762978
929.785957191 0.00014221989475
932.586517303 0.000142874315578
935.387077415 0.000143529017118
938.187637528 0.000144183991043
940.98819764 0.000144839229041
943.788757752 0.000145494722816
946.589317864 0.000146150464088
949.389877976 0.000146806444593
952.190438088 0.000147462656084
954.9909982 0.000148119090329
957.791558312 0.000148775739112
960.592118424 0.000149432594234
963.392678536 0.00015008964751
966.193238648 0.000150746890774
968.99379876 0.000151404315872
971.794358872 0.000152061914671
974.594918984 0.00015271967905
977.395479096 0.000153377600905
980.196039208 0.00015403567215
982.99659932 0.000154693884712
985.797159432 0.000155352230536
988.597719544 0.000156010701582
991.398279656 0.000156669289827
994.198839768 0.000157327987264
996.99939988 0.0001579867859
999.799959992 0.000158645677761
1002.6005201 0.000159304654886
1005.40108022 0.000159963709333
1008.20164033 0.000160622833174
1011.00220044 0.000161282018497
1013.80276055 0.000161941257407
1016.60332066 0.000162600542025
1019.40388078 0.000163259864487
1022.20444089 0.000163919216945
1025.005001 0.000164578591569
1027.80556111 0.000165237980542
1030.60612122 0.000165897376066
1033.40668134 0.000166556770358
1036.20724145 0.000167216155648
1039.00780156 0.000167875524187
1041.80836167 0.000168534868239
1044.60892178 0.000169194180084
1047.4094819 0.000169853452019
1050.21004201 0.000170512676357
1053.01060212 0.000171171845426
1055.81116223 0.00017183095157
1058.61172234 0.000172489987151
1061.41228246 0.000173148944545
1064.21284257 0.000173807816145
1067.01340268 0.000174466594359
1069.81396279 0.000175125271611
1072.6145229 0.000175783840343
1075.41508302 0.000176442293011
1078.21564313 0.000177100622087
1081.01620324 0.00017775882006
1083.81676335 0.000178416879435
1086.61732346 0.000179074792732
1089.41788358 0.000179732552488
1092.21844369 0.000180390151255
1095.0190038 0.000181047581601
1097.81956391 0.000181704836112
1100.62012402 0.000182361907387
1103.42068414 0.000183018788044
1106.22124425 0.000183675470714
1109.02180436 0.000184331948046
1111.82236447 0.000184988212705
1114.62292458 0.000185644257371
1117.4234847 0.000186300074741
1120.22404481 0.000186955657526
1123.02460492 0.000187610998456
1125.82516503 0.000188266090274
1128.62572515 0.000188920925741
1131.42628526 0.000189575497633
1134.22684537 0.000190229798743
1137.02740548 0.000190883821879
1139.82796559 0.000191537559865
1142.62852571 0.000192191005542
1145.42908582 0.000192844151765
1148.22964593 0.000193496991407
1151.03020604 0.000194149517357
1153.83076615 0.000194801722517
1156.63132627 0.000195453599809
1159.43188638 0.000196105142169
1162.23244649 0.000196756342548
1165.0330066 0.000197407193915
1167.83356671 0.000198057689254
1170.63412683 0.000198707821565
1173.43468694 0.000199357583864
1176.23524705 0.000200006969182
1179.03580716 0.000200655970569
1181.83636727 0.000201304581086
1184.63692739 0.000201952793816
1187.4374875 0.000202600601853
1190.23804761 0.000203247998309
1193.03860772 0.000203894976312
1195.83916783 0.000204541529006
1198.63972795 0.000205187649551
1201.44028806 0.000205833331122
1204.24084817 0.000206478566911
1207.04140828 0.000207123350125
1209.84196839 0.000207767673989
1212.64252851 0.000208411531741
1215.44308862 0.000209054916638
1218.24364873 0.00020969782195
1221.04420884 0.000210340240965
1223.84476895 0.000210982166987
1226.64532907 0.000211623593335
1229.44588918 0.000212264513345
1232.24644929 0.000212904920367
1235.0470094 0.000213544807768
1237.84756951 0.000214184168933
1240.64812963 0.00021482299726
1243.44868974 0.000215461286165
1246.24924985 0.000216099029078
1249.04980996 0.000216736219446
1251.85037007 0.000217372850733
1254.65093019 0.000218008916418
1257.4514903 0.000218644409995
1260.25205041 0.000219279324975
1263.05261052 0.000219913654885
1265.85317063 0.000220547393268
1268.65373075 0.000221180533682
1271.45429086 0.000221813069703
1274.25485097 0.00022244499492
1277.05541108 0.000223076302941
1279.85597119 0.000223706987388
1282.65653131 0.000224337041899
1285.45709142 0.00022496646013
1288.25765153 0.000225595235749
1291.05821164 0.000226223362444
1293.85877175 0.000226850833916
1296.65933187 0.000227477643885
1299.45989198 0.000228103786083
1302.26045209 0.000228729254262
1305.0610122 0.000229354042187
1307.86157231 0.00022997814364
1310.66213243 0.00023060155242
1313.46269254 0.000231224262339
1316.26325265 0.000231846267228
1319.06381276 0.000232467560933
1321.86437287 0.000233088137315
1324.66493299 0.000233707990252
1327.4654931 0.000234327113638
1330.26605321 0.000234945501381
1333.06661332 0.000235563147408
1335.86717343 0.000236180045659
1338.66773355 0.000236796190093
1341.46829366 0.000237411574682
1344.26885377 0.000238026193415
1347.06941388 0.000238640040298
1349.86997399 0.000239253109352
1352.67053411 0.000239865394613
1355.47109422 0.000240476890135
1358.27165433 0.000241087589987
1361.07221444 0.000241697488252
1363.87277455 0.000242306579033
1366.67333467 0.000242914856445
1369.47389478 0.000243522314621
1372.27445489 0.000244128947709
1375.075015 0.000244734749875
1377.87557512 0.000245339715298
1380.67613523 0.000245943838175
1383.47669534 0.000246547112717
1386.27725545 0.000247149533154
1389.07781556 0.000247751093728
1391.87837568 0.000248351788701
1394.67893579 0.000248951612347
1397.4794959 0.000249550558959
1400.28005601 0.000250148622844
1403.08061612 0.000250745798327
1405.88117624 0.000251342079746
1408.68173635 0.000251937461457
1411.48229646 0.000252531937832
1414.28285657 0.000253125503258
1417.08341668 0.000253718152138
1419.8839768 0.000254309878892
1422.68453691 0.000254900677954
1425.48509702 0.000255490543775
1428.28565713 0.000256079470823
1431.08621724 0.00025666745358
1433.88677736 0.000257254486545
1436.68733747 0.000257840564232
1439.48789758 0.000258425681173
1442.28845769 0.000259009831913
1445.0890178 0.000259593011016
1447.88957792 0.000260175213059
1450.69013803 0.000260756432636
1453.49069814 0.000261336664358
1456.29125825 0.000261915902851
1459.09181836 0.000262494142757
1461.89237848 0.000263071378733
1464.69293859 0.000263647605454
1467.4934987 0.000264222817608
1470.29405881 0.000264797009903
1473.09461892 0.000265370177058
1475.89517904 0.000265942313811
1478.69573915 0.000266513414916
1481.49629926 0.000267083475142
1484.29685937 0.000267652489274
1487.09741948 0.000268220452113
1489.8979796 0.000268787358476
1492.69853971 0.000269353203195
1495.49909982 0.000269917981119
1498.29965993 0.000270481687114
1501.10022004 0.000271044316059
1503.90078016 0.00027160586285
1506.70134027 0.0002721663224
1509.50190038 0.000272725689638
1512.30246049 0.000273283959507
1515.1030206 0.000273841126967
1517.90358072 0.000274397186994
1520.70414083 0.00027495213458
1523.50470094 0.000275505964732
1526.30526105 0.000276058672474
1529.10582116 0.000276610252846
1531.90638128 0.000277160700902
1534.70694139 0.000277710011714
1537.5075015 0.000278258180369
1540.30806161 0.00027880520197
1543.10862172 0.000279351071636
1545.90918184 0.000279895784501
1548.70974195 0.000280439335717
1551.51030206 0.000280981720449
1554.31086217 0.000281522933881
1557.11142228 0.00028206297121
1559.9119824 0.00028260182765
1562.71254251 0.000283139498433
1565.51310262 0.000283675978803
1568.31366273 0.000284211264022
1571.11422284 0.000284745349368
1573.91478296 0.000285278230136
1576.71534307 0.000285809901633
1579.51590318 0.000286340359186
1582.31646329 0.000286869598136
1585.1170234 0.000287397613839
1587.91758352 0.00028792440167
1590.71814363 0.000288449957016
1593.51870374 0.000288974275283
1596.31926385 0.00028949735189
1599.11982396 0.000290019182275
1601.92038408 0.00029053976189
1604.72094419 0.000291059086203
1607.5215043 0.000291577150699
1610.32206441 0.000292093950876
1613.12262452 0.000292609482251
1615.92318464 0.000293123740356
1618.72374475 0.000293636720738
1621.52430486 0.000294148418961
1624.32486497 0.000294658830604
1627.12542509 0.000295167951262
1629.9259852 0.000295675776546
1632.72654531 0.000296182302084
1635.52710542 0.000296687523517
1638.32766553 0.000297191436505
1641.12822565 0.000297694036722
1643.92878576 0.000298195319858
1646.72934587 0.00029869528162
1649.52990598 0.00029919391773
1652.33046609 0.000299691223925
1655.13102621 0.00030018719596
1657.93158632 0.000300681829604
1660.73214643 0.000301175120643
1663.53270654 0.000301667064878
1666.33326665 0.000302157658126
1669.13382677 0.00030264689622
1671.93438688 0.00030313477501
1674.73494699 0.00030362129036
1677.5355071 0.00030410643815
1680.33606721 0.000304590214279
1683.13662733 0.000305072614656
1685.93718744 0.000305553635212
1688.73774755 0.00030603327189
1691.53830766 0.00030651152065
1694.33886777 0.000306988377467
1697.13942789 0.000307463838334
1699.939988 0.000307937899258
1702.74054811 0.000308410556261
1705.54110822 0.000308881805384
1708.34166833 0.000309351642682
1711.14222845 0.000309820064224
1713.94278856 0.000310287066099
1716.74334867 0.000310752644408
1719.54390878 0.000311216795269
1722.34446889 0.000311679514818
1725.14502901 0.000312140799204
1727.94558912 0.000312600644593
1730.74614923 0.000313059047167
1733.54670934 0.000313516003123
1736.34726945 0.000313971508675
1739.14782957 0.000314425560053
1741.94838968 0.0003148781535
1744.74894979 0.000315329285279
1747.5495099 0.000315778951666
1750.35007001 0.000316227148953
1753.15063013 0.00031667387345
1755.95119024 0.00031711912148
1758.75175035 0.000317562889384
1761.55231046 0.000318005173517
1764.35287057 0.000318445970251
1767.15343069 0.000318885275974
1769.9539908 0.00031932308709
1772.75455091 0.000319759400018
1775.55511102 0.000320194211192
1778.35567113 0.000320627517064
1781.15623125 0.0003210593141
1783.95679136 0.000321489598784
1786.75735147 0.000321918367613
1789.55791158 0.000322345617102
1792.35847169 0.00032277134378
1795.15903181 0.000323195544195
1797.95959192 0.000323618214907
1800.76015203 0.000324039352494
1803.56071214 0.00032445895355
1806.36127225 0.000324877014683
1809.16183237 0.000325293532518
1811.96239248 0.000325708503698
1814.76295259 0.000326121924877
1817.5635127 0.000326533792729
1820.36407281 0.000326944103942
1823.16463293 0.000327352855219
1825.96519304 0.000327760043282
1828.76575315 0.000328165664865
1831.56631326 0.00032856971672
1834.36687337 0.000328972195615
1837.16743349 0.000329373098333
1839.9679936 0.000329772421672
1842.76855371 0.000330170162448
1845.56911382 0.000330566317491
1848.36967393 0.000330960883648
1851.17023405 0.00033135385778
1853.97079416 0.000331745236766
1856.77135427 0.000332135017499
1859.57191438 0.00033252319689
1862.37247449 0.000332909771864
1865.17303461 0.000333294739362
1867.97359472 0.000333678096341
1870.77415483 0.000334059839773
1873.57471494 0.000334439966649
1876.37527506 0.000334818473971
1879.17583517 0.000335195358761
1881.97639528 0.000335570618055
1884.77695539 0.000335944248904
1887.5775155 0.000336316248376
1890.37807562 0.000336686613554
1893.17863573 0.000337055341539
1895.97919584 0.000337422429444
1898.77975595 0.000337787874401
1901.58031606 0.000338151673556
1904.38087618 0.000338513824073
1907.18143629 0.000338874323128
1909.9819964 0.000339233167917
1912.78255651 0.000339590355649
1915.58311662 0.00033994588355
1918.38367674 0.00034029974886
1921.18423685 0.000340651948838
1923.98479696 0.000341002480757
1926.78535707 0.000341351341905
1929.58591718 0.000341698529586
1932.3864773 0.000342044041122
1935.18703741 0.000342387873848
1937.98759752 0.000342730025116
1940.78815763 0.000343070492294
1943.58871774 0.000343409272765
1946.38927786 0.00034374636393
1949.18983797 0.000344081763202
1951.99039808 0.000344415468013
1954.79095819 0.00034474747581
1957.5915183 0.000345077784054
1960.39207842 0.000345406390224
1963.19263853 0.000345733291814
1965.99319864 0.000346058486334
1968.79375875 0.00034638197131
1971.59431886 0.000346703744282
1974.39487898 0.000347023802807
1977.19543909 0.00034734214446
1979.9959992 0.000347658766827
1982.79655931 0.000347973667514
1985.59711942 0.000348286844141
1988.39767954 0.000348598294344
1991.19823965 0.000348908015775
1993.99879976 0.0003492160061
1996.79935987 0.000349522263004
1999.59991998 0.000349826784185
2002.4004801 0.000350129567358
2005.20104021 0.000350430610254
2008.00160032 0.000350729910619
2010.80216043 0.000351027466215
2013.60272054 0.000351323274821
2016.40328066 0.000351617334229
2019.20384077 0.000351909642249
2022.00440088 0.000352200196706
2024.80496099 0.000352488995442
2027.6055211 0.000352776036312
2030.40608122 0.00035306131719
2033.20664133 0.000353344835963
2036.00720144 0.000353626590536
2038.80776155 0.000353906578828
2041.60832166 0.000354184798774
2044.40888178 0.000354461248327
2047.20944189 0.000354735925452
2050.010002 0.000355008828134
2052.81056211 0.000355279954369
2055.61112222 0.000355549302173
2058.41168234 0.000355816869575
2061.21224245 0.000356082654621
2064.01280256 0.000356346655373
2066.81336267 0.000356608869908
2069.61392278 0.000356869296318
2072.4144829 0.000357127932714
2075.21504301 0.000357384777218
2078.01560312 0.000357639827972
2080.81616323 0.000357893083132
2083.61672334 0.000358144540868
2086.41728346 0.000358394199369
2089.21784357 0.000358642056838
2092.01840368 0.000358888111494
2094.81896379 0.000359132361572
2097.6195239 0.000359374805321
2100.42008402 0.000359615441008
2103.22064413 0.000359854266916
2106.02120424 0.000360091281341
2108.82176435 0.000360326482598
2111.62232446 0.000360559869015
2114.42288458 0.000360791438936
2117.22344469 0.000361021190724
2120.0240048 0.000361249122754
2122.82456491 0.000361475233418
2125.62512503 0.000361699521124
2128.42568514 0.000361921984296
2131.22624525 0.000362142621372
2134.02680536 0.000362361430808
2136.82736547 0.000362578411075
2139.62792559 0.000362793560659
2142.4284857 0.000363006878062
2145.22904581 0.000363218361802
2148.02960592 0.000363428010413
2150.83016603 0.000363635822445
2153.63072615 0.000363841796461
2156.43128626 0.000364045931043
2159.23184637 0.000364248224788
2162.03240648 0.000364448676308
2164.83296659 0.000364647284231
2167.63352671 0.0003648440472
2170.43408682 0.000365038963875
2173.23464693 0.000365232032932
2176.03520704 0.00036542325306
2178.83576715 0.000365612622967
2181.63632727 0.000365800141374
2184.43688738 0.000365985807021
2187.23744749 0.00036616961866
2190.0380076 0.00036635157506
2192.83856771 0.000366531675008
2195.63912783 0.000366709917304
2198.43968794 0.000366886300765
2201.24024805 0.000367060824222
2204.04080816 0.000367233486524
2206.84136827 0.000367404286535
2209.64192839 0.000367573223133
2212.4424885 0.000367740295215
2215.24304861 0.00036790550169
2218.04360872 0.000368068841485
2220.84416883 0.000368230313544
2223.64472895 0.000368389916822
2226.44528906 0.000368547650295
2229.24584917 0.000368703512951
2232.04640928 0.000368857503796
2234.84696939 0.00036900962185
2237.64752951 0.000369159866149
2240.44808962 0.000369308235746
2243.24864973 0.000369454729709
2246.04920984 0.000369599347121
2248.84976995 0.000369742087081
2251.65033007 0.000369882948705
2254.45089018 0.000370021931122
2257.25145029 0.00037015903348
2260.0520104 0.000370294254939
2262.85257051 0.000370427594679
2265.65313063 0.000370559051891
2268.45369074 0.000370688625786
2271.25425085 0.000370816315588
2274.05481096 0.000370942120537
2276.85537107 0.00037106603989
2279.65593119 0.000371188072918
